Máximo de Iterações,Coeficiente de Resfriamento,Execução,Função Objetivo,Tempo (ms)
10,0.0625,1,7635,6.75
10,0.0625,2,8631,3.28
10,0.0625,3,9147,3.72
10,0.0625,4,8990,2.76
10,0.0625,5,8364,2.72
10,0.0625,6,8900,2.66
10,0.0625,7,9147,2.50
10,0.0625,8,9147,2.74
10,0.0625,9,8506,2.57
10,0.0625,10,8551,2.44
10,0.12,1,8270,2.62
10,0.12,2,8472,2.53
10,0.12,3,8265,2.57
10,0.12,4,7858,2.53
10,0.12,5,8137,2.65
10,0.12,6,8929,2.50
10,0.12,7,7486,2.54
10,0.12,8,8662,2.60
10,0.12,9,8532,2.79
10,0.12,10,8047,2.55
10,0.25,1,8900,2.97
10,0.25,2,8713,2.96
10,0.25,3,8781,2.89
10,0.25,4,8990,2.95
10,0.25,5,8686,2.99
10,0.25,6,8781,2.88
10,0.25,7,8929,2.93
10,0.25,8,8940,2.93
10,0.25,9,8900,2.92
10,0.25,10,8929,2.87
10,0.50,1,8911,3.09
10,0.50,2,9147,3.07
10,0.50,3,9147,3.13
10,0.50,4,9147,3.28
10,0.50,5,8940,3.85
10,0.50,6,9147,3.11
10,0.50,7,8940,4.07
10,0.50,8,8990,4.68
10,0.50,9,8911,3.38
10,0.50,10,9147,3.14
10,0.75,1,9147,3.28
10,0.75,2,9147,3.34
10,0.75,3,8911,3.43
10,0.75,4,9147,3.27
10,0.75,5,9147,3.25
10,0.75,6,9147,3.18
10,0.75,7,9147,3.37
10,0.75,8,9147,3.57
10,0.75,9,9147,3.23
10,0.75,10,9147,3.29
100,0.06,1,9147,25.30
100,0.06,2,9147,24.56
100,0.06,3,9147,24.57
100,0.06,4,9147,26.06
100,0.06,5,9147,30.28
100,0.06,6,9147,28.71
100,0.06,7,8817,25.15
100,0.06,8,9147,25.43
100,0.06,9,9147,24.37
100,0.06,10,9147,24.47
100,0.12,1,8810,24.59
100,0.12,2,8653,25.01
100,0.12,3,9147,25.07
100,0.12,4,8625,25.07
100,0.12,5,8592,25.12
100,0.12,6,8911,25.13
100,0.12,7,8808,24.87
100,0.12,8,8940,28.26
100,0.12,9,8929,31.84
100,0.12,10,8929,26.49
100,0.25,1,9147,27.92
100,0.25,2,9147,28.12
100,0.25,3,8929,27.88
100,0.25,4,8990,28.17
100,0.25,5,9147,29.13
100,0.25,6,9147,27.91
100,0.25,7,9147,27.78
100,0.25,8,9147,28.39
100,0.25,9,9147,28.08
100,0.25,10,9147,27.93
100,0.50,1,9147,29.68
100,0.50,2,9147,30.12
100,0.50,3,9147,30.12
100,0.50,4,9147,30.21
100,0.50,5,9147,29.85
100,0.50,6,9147,30.50
100,0.50,7,9147,30.44
100,0.50,8,9147,30.44
100,0.50,9,9147,30.02
100,0.50,10,9147,29.66
100,0.75,1,9147,30.86
100,0.75,2,9147,30.65
100,0.75,3,9147,30.58
100,0.75,4,9147,31.16
100,0.75,5,9147,30.94
100,0.75,6,9147,30.46
100,0.75,7,9147,30.69
100,0.75,8,9147,30.52
100,0.75,9,9147,30.48
100,0.75,10,9147,30.85
1000,0.06,1,9147,241.78
1000,0.06,2,9147,237.81
1000,0.06,3,9147,241.07
1000,0.06,4,9147,240.63
1000,0.06,5,9147,242.06
1000,0.06,6,9147,240.72
1000,0.06,7,9147,240.90
1000,0.06,8,9147,239.08
1000,0.06,9,9147,241.35
1000,0.06,10,9147,238.79
1000,0.12,1,9147,240.49
1000,0.12,2,9147,240.74
1000,0.12,3,9147,242.41
1000,0.12,4,9147,239.73
1000,0.12,5,8990,239.84
1000,0.12,6,8990,239.57
1000,0.12,7,9147,239.51
1000,0.12,8,9147,240.53
1000,0.12,9,8990,239.74
1000,0.12,10,9147,239.49
1000,0.25,1,9147,268.52
1000,0.25,2,9147,269.02
1000,0.25,3,9147,268.89
1000,0.25,4,9147,274.95
1000,0.25,5,9147,278.13
1000,0.25,6,9147,293.96
1000,0.25,7,9147,294.75
1000,0.25,8,9147,282.14
1000,0.25,9,9147,275.57
1000,0.25,10,9147,275.08
1000,0.50,1,9147,293.31
1000,0.50,2,9147,302.47
1000,0.50,3,9147,377.25
1000,0.50,4,9147,302.91
1000,0.50,5,9147,403.13
1000,0.50,6,9147,298.50
1000,0.50,7,9147,311.06
1000,0.50,8,9147,291.38
1000,0.50,9,9147,303.31
1000,0.50,10,9147,328.25
1000,0.75,1,9147,306.91
1000,0.75,2,9147,352.98
1000,0.75,3,9147,392.73
1000,0.75,4,9147,442.96
1000,0.75,5,9147,459.48
1000,0.75,6,9147,426.05
1000,0.75,7,9147,365.44
1000,0.75,8,9147,440.38
1000,0.75,9,9147,385.23
1000,0.75,10,9147,311.48
10000,0.06,1,9147,2843.07
10000,0.06,2,9147,3081.70
10000,0.06,3,9147,2742.58
10000,0.06,4,9147,2419.24
10000,0.06,5,9147,2401.64
10000,0.06,6,9147,2466.30
10000,0.06,7,9147,2488.67
10000,0.06,8,9147,2429.46
10000,0.06,9,9147,2465.86
10000,0.06,10,9147,2470.12
10000,0.12,1,9147,2597.23
10000,0.12,2,9147,2435.09
10000,0.12,3,9147,2411.65
10000,0.12,4,9147,2425.05
10000,0.12,5,9147,2494.54
10000,0.12,6,9147,2445.03
10000,0.12,7,9147,2503.83
10000,0.12,8,9147,2446.77
10000,0.12,9,9147,2542.44
10000,0.12,10,9147,2423.84
10000,0.25,1,9147,2759.47
10000,0.25,2,9147,2728.81
10000,0.25,3,9147,2689.97
10000,0.25,4,9147,2836.98
10000,0.25,5,9147,2724.73
10000,0.25,6,9147,2725.78
10000,0.25,7,9147,2729.11
10000,0.25,8,9147,2729.36
10000,0.25,9,9147,2824.13
10000,0.25,10,9147,2793.20
10000,0.50,1,9147,2879.48
10000,0.50,2,9147,2879.78
10000,0.50,3,9147,2884.86
10000,0.50,4,9147,2974.04
10000,0.50,5,9147,2943.80
10000,0.50,6,9147,2954.41
10000,0.50,7,9147,2989.85
10000,0.50,8,9147,2984.91
10000,0.50,9,9147,2910.20
10000,0.50,10,9147,2906.54
10000,0.75,1,9147,3040.44
10000,0.75,2,9147,3037.64
10000,0.75,3,9147,3087.29
10000,0.75,4,9147,3066.60
10000,0.75,5,9147,3081.20
10000,0.75,6,9147,3150.04
10000,0.75,7,9147,2969.91
10000,0.75,8,9147,2978.06
10000,0.75,9,9147,2972.38
