Máximo de Iterações,Coeficiente de Resfriamento,Execução,Função Objetivo,Tempo (ms)
10,0.10,1,474.83,124.53
10,0.10,2,471.46,116.59
10,0.10,3,449.19,114.32
10,0.10,4,474.40,116.71
10,0.10,5,472.16,118.13
10,0.10,6,468.01,107.73
10,0.10,7,467.06,111.77
10,0.10,8,483.66,113.42
10,0.10,9,442.95,110.58
10,0.10,10,462.29,92.92
10,0.12,1,475.46,139.49
10,0.12,2,476.74,151.30
10,0.12,3,453.85,143.26
10,0.12,4,451.69,142.96
10,0.12,5,461.95,140.87
10,0.12,6,475.36,136.18
10,0.12,7,492.06,129.24
10,0.12,8,490.82,137.40
10,0.12,9,484.44,131.40
10,0.12,10,473.74,140.73
10,0.25,1,475.98,222.86
10,0.25,2,487.55,226.90
10,0.25,3,489.52,224.87
10,0.25,4,514.65,212.13
10,0.25,5,465.68,199.87
10,0.25,6,479.57,252.99
10,0.25,7,496.79,247.99
10,0.25,8,478.64,245.72
10,0.25,9,454.82,374.07
10,0.25,10,502.62,276.06
10,0.50,1,551.77,411.81
10,0.50,2,528.46,340.84
10,0.50,3,520.04,360.76
10,0.50,4,483.56,360.73
10,0.50,5,503.71,416.85
10,0.50,6,524.06,351.35
10,0.50,7,496.62,387.39
10,0.50,8,506.32,347.96
10,0.50,9,531.59,359.34
10,0.50,10,514.22,351.43
10,0.75,1,516.04,368.78
10,0.75,2,498.46,391.49
10,0.75,3,532.97,384.92
10,0.75,4,518.68,402.05
10,0.75,5,515.99,385.11
10,0.75,6,511.66,354.87
10,0.75,7,485.00,359.27
10,0.75,8,526.24,370.58
10,0.75,9,536.48,380.16
10,0.75,10,516.92,384.66
100,0.10,1,453.39,1408.89
100,0.10,2,448.98,1327.93
100,0.10,3,463.05,1381.35
100,0.10,4,455.96,1286.97
100,0.10,5,451.40,1325.62
100,0.10,6,454.42,1399.06
100,0.10,7,446.42,1389.99
100,0.10,8,450.29,1351.41
100,0.10,9,455.34,1339.80
100,0.10,10,424.45,1386.89
100,0.12,1,450.15,1613.68
100,0.12,2,467.21,1576.67
100,0.12,3,456.44,1502.35
100,0.12,4,456.35,1636.05
100,0.12,5,451.74,1700.85
100,0.12,6,454.71,1647.88
100,0.12,7,458.45,1760.94
100,0.12,8,455.29,1624.22
100,0.12,9,448.80,1763.21
100,0.12,10,450.89,1552.49
100,0.25,1,465.98,2455.83
100,0.25,2,476.34,2485.34
100,0.25,3,463.93,2432.58
100,0.25,4,475.86,2343.01
100,0.25,5,452.63,2573.14
100,0.25,6,475.74,2411.89
100,0.25,7,475.66,2484.90
100,0.25,8,468.74,2575.02
100,0.25,9,466.55,2471.34
100,0.25,10,480.90,2463.89
100,0.50,1,489.74,3414.27
100,0.50,2,471.18,3658.29
100,0.50,3,485.22,3407.95
100,0.50,4,479.97,3393.87
100,0.50,5,467.54,3446.42
100,0.50,6,492.71,3396.06
100,0.50,7,498.80,3732.15
100,0.50,8,478.62,3446.71
100,0.50,9,500.73,3430.25
100,0.50,10,494.11,3392.55
100,0.75,1,498.61,3819.91
100,0.75,2,492.21,4133.27
100,0.75,3,483.33,3795.78
100,0.75,4,474.62,3750.60
100,0.75,5,500.81,3778.92
100,0.75,6,489.46,3862.73
100,0.75,7,501.31,3846.54
100,0.75,8,496.39,3766.73
100,0.75,9,481.68,3872.74
100,0.75,10,485.68,3825.59
1000,0.10,1,445.71,13538.43
1000,0.10,2,437.22,13845.68
1000,0.10,3,445.16,13776.89
1000,0.10,4,437.39,13676.08
1000,0.10,5,434.61,13740.70
1000,0.10,6,437.65,13525.76
1000,0.10,7,434.97,13720.12
1000,0.10,8,440.78,13568.48
1000,0.10,9,435.10,13619.51
1000,0.10,10,436.56,13727.29
1000,0.12,1,446.69,16548.68
1000,0.12,2,449.09,16680.28
1000,0.12,3,445.04,16872.75
1000,0.12,4,446.05,16330.07
1000,0.12,5,449.25,16022.47
1000,0.12,6,431.22,16279.97
1000,0.12,7,443.32,16223.55
1000,0.12,8,439.55,14421.28
1000,0.12,9,447.43,15083.89
1000,0.12,10,440.40,15549.34
1000,0.25,1,463.12,22687.08
1000,0.25,2,459.85,23112.24
1000,0.25,3,453.93,22983.57
1000,0.25,4,462.47,26728.44
1000,0.25,5,455.91,23131.24
1000,0.25,6,464.92,22788.48
1000,0.25,7,452.05,23848.90
1000,0.25,8,456.01,24223.27
1000,0.25,9,463.01,22875.12
1000,0.25,10,454.60,22920.68
1000,0.50,1,470.07,33930.84
1000,0.50,2,474.91,33045.12
1000,0.50,3,468.94,36072.73
1000,0.50,4,464.46,35119.89
1000,0.50,5,466.91,31875.68
1000,0.50,6,474.09,31714.35
1000,0.50,7,461.77,31634.41
1000,0.50,8,471.63,31585.70
1000,0.50,9,453.97,32405.27
1000,0.50,10,472.83,33256.51
1000,0.75,1,470.44,39028.02
1000,0.75,2,462.28,35708.47
1000,0.75,3,472.91,35593.38
1000,0.75,4,464.25,37567.29
1000,0.75,5,480.02,40509.06
1000,0.75,6,462.61,41614.16
1000,0.75,7,464.66,41175.21
1000,0.75,8,467.76,41615.47
1000,0.75,9,484.99,34159.73
1000,0.75,10,467.90,32643.76
