Temperatura,Coeficiente de Resfriamento,Máximo de Iterações,Execução,Função Objetivo,Tempo (ms)
100,0.5,5,1,2934,1.94
100,0.50,5,2,2090,0.63
100,0.50,5,3,1915,0.76
100,0.50,5,4,4795,0.40
100,0.50,5,5,2414,0.66
100,0.50,5,6,1366,0.79
100,0.50,5,7,1221,0.75
100,0.50,5,8,1366,0.79
100,0.50,5,9,1163,1.17
100,0.50,5,10,2134,0.81
100,0.50,10,1,3182,1.11
100,0.50,10,2,1860,1.44
100,0.50,10,3,1625,1.98
100,0.50,10,4,3954,0.85
100,0.50,10,5,2487,0.97
100,0.50,10,6,4037,0.96
100,0.50,10,7,2182,1.33
100,0.50,10,8,1684,2.14
100,0.50,10,9,5267,0.78
100,0.50,10,10,4219,0.92
100,0.50,50,1,711,22.53
100,0.50,50,2,7458,3.05
100,0.50,50,3,4394,3.95
100,0.50,50,4,6217,3.68
100,0.50,50,5,3894,6.02
100,0.50,50,6,1983,8.31
100,0.50,50,7,5169,3.77
100,0.50,50,8,5040,3.89
100,0.50,50,9,2637,9.25
100,0.50,50,10,711,24.88
100,0.50,100,1,6345,6.64
100,0.50,100,2,4145,8.54
100,0.50,100,3,5538,7.32
100,0.50,100,4,6959,6.70
100,0.50,100,5,5970,6.84
100,0.50,100,6,4223,9.70
100,0.50,100,7,5942,7.12
100,0.50,100,8,3132,14.74
100,0.50,100,9,4294,8.50
100,0.50,100,10,7157,6.04
100,0.75,5,1,3234,1.23
100,0.75,5,2,3136,1.35
100,0.75,5,3,4755,0.96
100,0.75,5,4,2117,2.14
100,0.75,5,5,2817,1.63
100,0.75,5,6,1594,2.66
100,0.75,5,7,5258,0.88
100,0.75,5,8,2782,1.61
100,0.75,5,9,3276,1.03
100,0.75,5,10,3097,1.27
100,0.75,10,1,2059,3.44
100,0.75,10,2,1907,2.89
100,0.75,10,3,2446,3.52
100,0.75,10,4,3956,2.22
100,0.75,10,5,4153,2.15
100,0.75,10,6,2962,2.39
100,0.75,10,7,6885,1.41
100,0.75,10,8,4605,2.11
100,0.75,10,9,3169,2.50
100,0.75,10,10,3768,2.71
100,0.75,50,1,2957,11.82
100,0.75,50,2,3827,12.44
100,0.75,50,3,3421,13.54
100,0.75,50,4,3914,13.28
100,0.75,50,5,2890,15.49
100,0.75,50,6,6327,7.84
100,0.75,50,7,3079,13.07
100,0.75,50,8,6945,7.84
100,0.75,50,9,5030,9.07
100,0.75,50,10,2537,16.44
100,0.75,100,1,3469,22.81
100,0.75,100,2,794,98.27
100,0.75,100,3,5282,18.63
100,0.75,100,4,5681,17.39
100,0.75,100,5,5766,18.25
100,0.75,100,6,2226,27.79
100,0.75,100,7,7441,13.63
100,0.75,100,8,3904,20.58
100,0.75,100,9,6410,14.44
100,0.75,100,10,2961,27.78
100,0.90,5,1,2915,4.07
100,0.90,5,2,2793,3.24
100,0.90,5,3,1142,5.79
100,0.90,5,4,2144,4.22
100,0.90,5,5,4399,2.44
100,0.90,5,6,4131,2.56
100,0.90,5,7,2349,5.67
100,0.90,5,8,4007,2.42
100,0.90,5,9,2572,5.56
100,0.90,5,10,5554,2.19
100,0.90,10,1,3960,5.55
100,0.90,10,2,3171,7.12
100,0.90,10,3,3810,5.59
100,0.90,10,4,2541,7.39
100,0.90,10,5,3930,5.98
100,0.90,10,6,2773,8.16
100,0.90,10,7,5832,4.48
100,0.90,10,8,2839,8.61
100,0.90,10,9,1740,11.35
100,0.90,10,10,5592,4.36
100,0.90,50,1,7124,18.09
100,0.90,50,2,3915,36.40
100,0.90,50,3,3253,43.14
100,0.90,50,4,3171,37.27
100,0.90,50,5,2113,52.37
100,0.90,50,6,7692,18.73
100,0.90,50,7,5557,24.18
100,0.90,50,8,3035,38.51
100,0.90,50,9,5313,24.82
100,0.90,50,10,794,136.60
100,0.90,100,1,4641,63.56
100,0.90,100,2,5755,48.57
100,0.90,100,3,2218,79.49
100,0.90,100,4,2273,99.05
100,0.90,100,5,4249,65.33
100,0.90,100,6,6399,43.93
100,0.90,100,7,5863,47.84
100,0.90,100,8,4294,60.32
100,0.90,100,9,6047,45.64
100,0.90,100,10,4880,51.70
100,1.00,5,1,8808,186.57
100,1.00,5,2,6810,248.64
100,1.00,5,3,8693,172.85
100,1.00,5,4,4707,316.61
100,1.00,5,5,6362,232.11
100,1.00,5,6,4396,315.66
100,1.00,5,7,7901,200.91
100,1.00,5,8,7971,199.57
100,1.00,5,9,711,1535.31
100,1.00,5,10,5642,248.50
100,1.00,10,1,8446,360.70
100,1.00,10,2,7544,388.43
100,1.00,10,3,6925,439.20
100,1.00,10,4,6298,446.39
100,1.00,10,5,7531,422.03
100,1.00,10,6,8212,368.84
100,1.00,10,7,2283,975.38
100,1.00,10,8,4314,673.30
100,1.00,10,9,6685,464.35
100,1.00,10,10,7323,402.81
100,1.00,50,1,8226,1925.22
100,1.00,50,2,7619,1999.73
100,1.00,50,3,8657,1945.63
100,1.00,50,4,9147,1814.09
100,1.00,50,5,8940,1798.44
100,1.00,50,6,9147,1803.22
100,1.00,50,7,7639,2075.39
100,1.00,50,8,8168,2220.17
100,1.00,50,9,8660,1920.73
100,1.00,50,10,4776,2848.20
100,1.00,100,1,4480,6256.20
100,1.00,100,2,8940,3616.38
100,1.00,100,3,7382,4386.90
100,1.00,100,4,8929,3608.80
100,1.00,100,5,8940,3588.50
100,1.00,100,6,7813,4023.44
100,1.00,100,7,8842,3638.82
100,1.00,100,8,6857,4367.79
100,1.00,100,9,8388,3856.48
100,1.00,100,10,5053,6300.55
1000,0.50,5,1,4734,0.48
1000,0.50,5,2,3913,0.54
1000,0.50,5,3,5391,0.36
1000,0.50,5,4,4298,0.58
1000,0.50,5,5,4308,0.37
1000,0.50,5,6,3620,0.59
1000,0.50,5,7,5681,0.36
1000,0.50,5,8,5715,0.36
1000,0.50,5,9,1961,1.04
1000,0.50,5,10,3784,0.53
1000,0.50,10,1,5128,0.83
1000,0.50,10,2,5784,0.80
1000,0.50,10,3,3166,1.43
1000,0.50,10,4,5430,0.75
1000,0.50,10,5,5760,0.90
1000,0.50,10,6,6317,0.84
1000,0.50,10,7,4988,0.83
1000,0.50,10,8,5344,0.92
1000,0.50,10,9,3576,1.31
1000,0.50,10,10,6865,0.78
1000,0.50,50,1,8118,3.39
1000,0.50,50,2,7347,3.75
1000,0.50,50,3,7498,3.48
1000,0.50,50,4,7919,3.80
1000,0.50,50,5,8079,3.72
1000,0.50,50,6,7232,3.96
1000,0.50,50,7,6528,3.53
1000,0.50,50,8,7820,3.53
1000,0.50,50,9,8810,3.52
1000,0.50,50,10,7358,3.77
1000,0.50,100,1,8911,6.86
1000,0.50,100,2,8213,6.71
1000,0.50,100,3,8687,6.67
1000,0.50,100,4,8280,6.70
1000,0.50,100,5,8425,7.00
1000,0.50,100,6,7713,7.23
1000,0.50,100,7,8283,6.97
1000,0.50,100,8,6467,7.65
1000,0.50,100,9,7870,7.55
1000,0.50,100,10,7202,7.99
1000,0.75,5,1,5046,1.17
1000,0.75,5,2,5998,1.09
1000,0.75,5,3,4442,1.01
1000,0.75,5,4,3982,1.43
1000,0.75,5,5,2789,1.74
1000,0.75,5,6,5115,1.18
1000,0.75,5,7,4389,1.05
1000,0.75,5,8,6092,0.89
1000,0.75,5,9,4151,1.10
1000,0.75,5,10,7016,0.84
1000,0.75,10,1,5701,2.20
1000,0.75,10,2,7393,1.70
1000,0.75,10,3,7082,2.00
1000,0.75,10,4,5570,2.29
1000,0.75,10,5,7971,1.67
1000,0.75,10,6,6892,1.85
1000,0.75,10,7,6103,2.08
1000,0.75,10,8,8160,1.62
1000,0.75,10,9,8532,1.66
1000,0.75,10,10,8057,1.65
1000,0.75,50,1,7808,9.14
1000,0.75,50,2,8940,8.24
1000,0.75,50,3,7846,8.94
1000,0.75,50,4,8386,8.13
1000,0.75,50,5,7952,9.32
1000,0.75,50,6,8253,8.64
1000,0.75,50,7,8592,8.84
