Temperatura,Coeficiente de Resfriamento,Máximo de Iterações,Execução,Função Objetivo,Tempo (ms)
100,0.5,5,1,1141.79,0.33
100,0.50,5,2,1158.33,0.34
100,0.50,5,3,1183.22,0.22
100,0.50,5,4,1223.51,0.32
100,0.50,5,5,1211.84,0.21
100,0.50,5,6,1134.14,0.23
100,0.50,5,7,1210.39,0.21
100,0.50,5,8,1254.83,0.22
100,0.50,5,9,1136.21,0.21
100,0.50,5,10,1288.77,0.20
100,0.50,10,1,920.27,0.49
100,0.50,10,2,1100.09,0.39
100,0.50,10,3,1083.58,0.40
100,0.50,10,4,998.31,0.39
100,0.50,10,5,1073.62,0.39
100,0.50,10,6,1110.75,0.39
100,0.50,10,7,1084.04,0.36
100,0.50,10,8,1077.70,0.28
100,0.50,10,9,1075.59,0.28
100,0.50,10,10,1013.10,0.28
100,0.50,50,1,832.50,1.33
100,0.50,50,2,733.42,1.21
100,0.50,50,3,812.96,0.93
100,0.50,50,4,813.72,0.92
100,0.50,50,5,881.81,1.04
100,0.50,50,6,849.12,0.70
100,0.50,50,7,872.77,0.79
100,0.50,50,8,920.76,0.82
100,0.50,50,9,840.32,0.74
100,0.50,50,10,832.90,0.65
100,0.50,100,1,723.45,1.29
100,0.50,100,2,789.86,1.35
100,0.50,100,3,723.62,1.29
100,0.50,100,4,752.28,1.29
100,0.50,100,5,702.81,1.30
100,0.50,100,6,709.80,1.28
100,0.50,100,7,705.26,1.32
100,0.50,100,8,732.81,1.29
100,0.50,100,9,740.05,1.29
100,0.50,100,10,751.45,1.52
100,0.75,5,1,979.87,0.16
100,0.75,5,2,1174.51,0.16
100,0.75,5,3,1026.64,0.20
100,0.75,5,4,928.06,0.16
100,0.75,5,5,1040.92,0.17
100,0.75,5,6,1012.13,0.21
100,0.75,5,7,1015.42,0.22
100,0.75,5,8,939.90,0.22
100,0.75,5,9,1088.90,0.21
100,0.75,5,10,994.90,0.15
100,0.75,10,1,1024.04,0.32
100,0.75,10,2,920.82,0.31
100,0.75,10,3,1000.14,0.31
100,0.75,10,4,997.06,0.32
100,0.75,10,5,987.54,0.31
100,0.75,10,6,909.31,0.31
100,0.75,10,7,976.40,0.31
100,0.75,10,8,933.88,0.31
100,0.75,10,9,938.36,0.31
100,0.75,10,10,960.70,0.32
100,0.75,50,1,758.61,1.55
100,0.75,50,2,652.83,1.51
100,0.75,50,3,701.39,1.50
100,0.75,50,4,620.45,1.51
100,0.75,50,5,747.91,1.49
100,0.75,50,6,678.05,1.51
100,0.75,50,7,672.78,1.57
100,0.75,50,8,770.08,2.03
100,0.75,50,9,666.54,1.60
100,0.75,50,10,717.08,1.51
100,0.75,100,1,596.30,3.05
100,0.75,100,2,569.30,3.01
100,0.75,100,3,584.70,3.01
100,0.75,100,4,621.05,3.16
100,0.75,100,5,613.14,3.27
100,0.75,100,6,611.43,3.05
100,0.75,100,7,637.34,3.02
100,0.75,100,8,633.60,3.01
100,0.75,100,9,655.48,3.24
100,0.75,100,10,607.19,3.50
100,0.90,5,1,967.18,0.41
100,0.90,5,2,964.04,0.42
100,0.90,5,3,853.87,0.41
100,0.90,5,4,928.81,0.41
100,0.90,5,5,965.07,0.41
100,0.90,5,6,977.26,0.41
100,0.90,5,7,940.95,0.42
100,0.90,5,8,882.90,0.41
100,0.90,5,9,935.15,0.44
100,0.90,5,10,904.03,0.42
100,0.90,10,1,743.38,0.81
100,0.90,10,2,776.44,0.81
100,0.90,10,3,836.44,0.81
100,0.90,10,4,828.93,0.82
100,0.90,10,5,784.45,0.81
100,0.90,10,6,825.77,0.81
